claveU,ID,nroViaje,dive,julianoIni,duration,MaxDepth,julianoMax,AvgDepth,MinDepth,BottomTemp,SurfaceTemp,intervaloEnSuperficie,donde,longi,lati,actuBuceo
ANIF,81488,1,10787,229.951273,19.33,556.00,229.956250,350.44,6.50,12.8,14.1,2.33,F,-53.335000,-38.124000,x
ANIF,81496,1,10795,230.067940,19.00,479.50,230.075231,309.46,12.00,14.1,15.4,2.33,F,-53.443000,-38.093000,x
ANIF,81506,1,10805,230.239120,15.17,139.50,230.244907,105.73,4.50,19.2,18.5,2.67,F,-53.603000,-38.096000,x
ANIF,81517,1,10816,230.422917,28.67,889.00,230.432986,502.47,8.50,10.4,15.4,2.67,F,-53.793000,-38.114000,x
ANIF,81527,1,10826,230.647801,29.17,933.00,230.657986,545.89,8.50,9.1,16.0,2.50,F,-53.927000,-38.174000,x
ANIF,81548,1,10847,231.018056,0.33,3.00,231.018056,2.75,2.50,NULL,15.4,0.33,F,-54.246000,-38.388000,x
ANIF,81557,1,10856,231.128819,18.50,527.00,231.135880,347.84,5.00,12.3,14.4,2.50,F,-54.409000,-38.412000,x
ANIF,81566,1,10865,231.265394,16.83,474.00,231.270139,305.79,6.00,13.8,14.8,2.33,F,-54.365000,-38.478000,x
ANIF,81579,1,10878,231.472801,27.00,934.50,231.482407,551.79,3.50,7.4,15.6,2.50,F,-54.366000,-38.618000,x
ANIF,81586,1,10885,231.638310,32.67,1015.50,231.647454,585.92,2.50,7.4,15.6,2.50,F,-54.440000,-38.603000,x
ANIF,81606,1,10905,232.028472,17.50,584.00,232.035764,335.70,10.00,10.6,20.5,352.50,F,-54.318000,-38.748000,x
ANIF,81608,1,10907,232.300926,24.17,487.00,232.305787,336.97,2.50,13.0,14.2,2.83,F,-54.335000,-38.748000,x
ANIF,81638,1,10937,232.978588,20.50,349.50,232.983218,253.19,3.00,10.1,11.9,2.50,F,-54.506000,-38.787000,x
ANIF,81641,1,10940,233.042361,24.67,350.50,233.053241,257.18,13.50,7.6,11.4,2.17,F,-54.528000,-38.776000,x
ANIF,81657,1,10956,233.282292,18.33,345.00,233.288542,241.28,4.00,8.8,10.9,2.17,F,-54.506000,-38.806000,x
ANIF,81663,1,10962,233.374074,28.50,343.00,233.386458,272.57,7.00,8.0,10.7,2.00,F,-54.588000,-38.824000,x
ANIF,81697,1,10996,234.103125,28.50,612.00,234.110995,427.57,5.00,6.8,8.7,3.17,F,-54.493000,-38.920000,x
ANIF,81704,1,11003,234.217477,19.83,702.00,234.223843,422.93,6.50,7.4,9.0,2.67,F,-54.429000,-38.929000,x
ANIF,81712,1,11011,234.362616,23.50,694.00,234.370139,438.66,5.50,7.3,8.8,2.00,F,-54.438000,-38.974000,x
ANIF,81733,1,11032,234.789352,22.50,638.00,234.798958,411.21,12.00,6.2,7.1,2.17,F,-54.426000,-38.980000,x
ANIF,81736,1,11035,234.848148,33.33,660.00,234.857292,436.43,2.50,6.3,7.4,4.67,F,-54.512000,-39.002000,x
ANIF,81747,1,11046,235.096528,24.67,759.00,235.105208,468.50,7.50,6.8,6.9,2.33,F,-54.678000,-38.990000,x
ANIF,81751,1,11050,235.170949,24.00,807.50,235.180556,483.40,4.00,6.3,6.6,2.33,F,-54.728000,-39.015000,x
ANIF,81766,1,11065,235.479167,37.83,395.50,235.499190,309.08,3.00,7.8,10.7,2.17,F,-54.684000,-39.051000,x
ANIF,81779,1,11078,235.779167,24.50,698.00,235.787500,415.10,3.00,5.9,7.8,2.33,F,-54.900000,-39.065000,x
ANIF,81805,1,11104,236.252662,26.50,404.50,236.261111,263.88,9.00,6.2,7.1,2.17,F,-55.374000,-38.918000,x
ANIF,81832,1,11131,236.743866,27.83,84.50,236.747222,67.91,4.50,9.9,11.4,2.67,Po,-55.932000,-38.895000,x
ANIF,81833,1,11132,236.765046,16.83,98.50,236.767130,80.38,4.50,10.2,10.5,2.33,Po,-55.946000,-38.900000,x
ANIF,81838,1,11137,236.836227,29.17,93.50,236.840394,83.07,2.50,8.1,8.2,2.67,Po,-55.997000,-38.867000,x
ANIF,81860,1,11159,237.240278,27.17,92.50,237.253472,81.77,3.00,9.2,9.7,2.83,Po,-56.311000,-38.721000,x
ANIF,81868,1,11167,237.388542,22.17,89.50,237.389931,72.71,4.00,8.3,20.4,164.00,Po,-56.354000,-38.682000,x
ANIF,81869,1,11168,237.517824,16.67,87.50,237.520949,69.67,3.00,13.1,29.2,69.00,Po,-56.294000,-38.692000,x
ANIF,81881,1,11180,237.830093,26.00,88.50,237.831366,70.55,4.00,8.8,8.9,2.67,Po,-56.110000,-38.686000,x
ANIF,81889,1,11188,237.964699,21.33,87.00,237.967130,59.70,4.50,8.4,8.5,2.17,Po,-55.948000,-38.628000,x
ANIF,81896,1,11195,238.079167,22.50,87.50,238.081019,63.76,4.50,9.0,8.9,2.17,Po,-55.892000,-38.546000,x
ANIF,81900,1,11199,238.146181,22.50,93.00,238.150694,69.23,4.50,8.2,8.2,2.33,Po,-55.824000,-38.499000,x
ANIF,81904,1,11203,238.229398,29.00,92.00,238.239005,75.55,5.50,8.6,8.9,2.33,Po,-55.554000,-38.405000,x
ANIF,81913,1,11212,238.374306,23.00,97.00,238.375926,89.75,4.00,8.5,9.4,3.50,Po,-55.757000,-38.394000,x
ANIF,81916,1,11215,238.434144,29.50,97.50,238.436227,91.43,6.50,9.5,11.2,4.00,Po,-55.975000,-38.424000,x
ANIF,81923,1,11222,238.588657,28.17,100.50,238.595718,91.62,4.00,8.1,10.6,2.50,Po,-55.645000,-38.376000,x
ANIF,81944,1,11243,238.960648,16.67,201.50,238.966319,129.86,6.50,7.1,7.5,2.17,F,-55.327000,-38.200000,x
ANIF,81948,1,11247,239.021759,30.50,358.50,239.029630,230.50,3.50,6.4,7.7,3.50,F,-55.274000,-38.148000,x
ANIF,81954,1,11253,239.137037,24.00,337.50,239.146875,232.98,4.00,6.4,8.2,2.67,F,-55.273000,-38.078000,x
ANIF,81963,1,11262,239.298727,25.33,546.50,239.307292,342.43,2.50,6.8,9.5,2.50,F,-55.144000,-38.018000,x
ANIF,81969,1,11268,239.421991,31.33,605.00,239.429167,451.31,3.00,6.9,12.8,2.33,F,-55.039000,-37.950000,x
ANIF,81981,1,11280,239.658333,24.00,673.00,239.668056,466.75,6.00,6.2,10.4,2.17,F,-54.532000,-37.719000,x
ANIF,81990,1,11289,239.818750,16.17,434.00,239.825463,306.86,11.50,7.1,8.3,2.17,F,-54.846000,-37.761000,x
ANIF,81993,1,11292,239.856944,15.83,499.50,239.861458,316.12,3.00,7.6,8.6,2.17,F,-54.868000,-37.748000,x
ANIF,82006,1,11305,240.012037,13.50,399.00,240.017361,241.01,3.00,7.8,8.5,2.17,F,-54.692000,-37.630000,x
