claveU,ID,nroViaje,dive,julianoIni,duration,MaxDepth,julianoMax,AvgDepth,MinDepth,BottomTemp,SurfaceTemp,intervaloEnSuperficie,donde,longi,lati,actuBuceo
ABVM,37201,1,60,309.659300,10.94,48.00,309.661700,35.32,9.00,8.3,10.6,2.45,Pi,-63.359000,-43.724000,x
ABVM,37681,1,540,316.934600,22.03,444.00,316.938100,348.00,10.00,4.0,6.7,4.03,F,-57.394000,-47.466000,x
ABVM,38033,1,892,323.252300,23.04,444.00,323.254800,363.66,6.00,3.8,6.9,3.02,F,-60.875000,-48.006000,x
ABVM,38157,1,1016,325.600600,20.02,444.00,325.603000,371.35,26.00,4.0,7.0,3.46,F,-59.476000,-48.979000,x
ABVM,38161,1,1020,325.666900,23.47,444.00,325.669300,370.05,12.00,3.9,7.1,4.03,F,-59.335000,-48.944000,x
ABVM,38411,1,1270,330.118000,23.33,444.00,330.120400,367.00,14.00,3.9,7.3,3.60,F,-59.287000,-49.020000,x
ABVM,38878,1,1737,339.629100,28.94,444.00,339.631800,369.32,26.00,3.6,8.7,3.46,F,-59.620000,-48.256000,x
ABVM,39374,1,2233,350.034600,27.94,444.00,350.037400,381.36,16.00,3.8,7.6,4.03,F,-59.321000,-48.781000,x
ABVM,40158,1,3017,368.012400,26.93,418.00,368.021100,259.33,12.00,3.8,9.4,46.51,F,-59.997000,-48.232000,x
ABVM,40511,1,3370,376.634900,21.60,444.00,376.637000,379.95,52.00,3.8,9.1,3.89,F,-59.840000,-47.920000,x
ABVM,40530,1,3389,377.075900,28.51,444.00,377.078700,341.18,10.00,3.8,9.3,97.49,F,-60.116000,-48.160000,x
ABVM,40562,1,3421,377.911700,30.96,444.00,377.914100,388.21,18.00,3.5,8.8,4.03,F,-59.584000,-48.495000,x
ABVM,40681,1,3540,380.800200,28.08,444.00,380.802700,383.96,32.00,3.7,9.1,3.46,F,-59.487000,-48.328000,x
ABVM,40782,1,3641,383.244000,31.97,444.00,383.247100,381.87,10.00,3.8,8.9,4.46,F,-59.464000,-48.480000,x
ABVM,40820,1,3679,384.049500,26.50,402.00,384.057500,261.19,12.00,4.0,9.4,114.05,F,-59.766000,-48.589000,x
ABVM,40864,1,3723,385.118300,30.96,444.00,385.121100,399.24,6.00,3.8,8.6,4.03,F,-59.908000,-48.414000,x
ABVM,40987,1,3846,388.089800,39.46,444.00,388.092300,406.41,20.00,3.8,9.5,3.60,F,-60.210000,-48.090000,x
ABVM,41181,1,4040,392.655800,20.45,246.00,392.657500,217.37,12.00,4.7,11.5,3.02,F,-60.911000,-48.128000,x
ABVM,41223,1,4082,393.575200,21.02,224.00,393.578400,195.25,24.00,4.8,10.1,3.02,F,-61.125000,-48.275000,x
ABVM,41272,1,4131,394.566900,21.46,210.00,394.568300,193.80,4.00,4.8,10.2,4.03,F,-61.538000,-48.344000,x
ABVM,41327,1,4186,395.783600,20.45,194.00,395.785600,169.30,16.00,4.8,10.0,3.46,Po,-61.505000,-48.314000,x
ABVM,41354,1,4213,396.257900,23.90,184.00,396.267200,166.02,16.00,4.6,9.6,3.02,Po,-61.338000,-48.269000,x
ABVM,41374,1,4233,396.622800,23.47,212.00,396.628400,154.51,4.00,4.7,10.1,11.52,F,-61.009000,-48.307000,x
ABVM,41472,1,4331,399.080400,28.51,248.00,399.094700,210.75,24.00,4.6,10.1,3.60,F,-59.382000,-47.788000,x
ABVM,41621,1,4480,401.658200,21.60,86.00,401.661000,77.93,6.00,6.1,13.5,2.45,Pv,-61.906000,-45.568000,x
ABVM,41657,1,4516,402.140200,16.42,44.00,402.144300,37.65,20.00,6.6,13.1,2.59,Pv,-62.088000,-45.246000,x
ABVM,41695,1,4554,402.714800,25.49,84.00,402.723800,77.02,6.00,6.3,14.0,3.60,Pv,-62.026000,-44.799000,x
ABVM,41767,1,4626,403.877700,15.98,66.00,403.879400,33.21,4.00,7.6,15.0,3.02,Pv,-62.755000,-43.841000,x
ANIC,43589,2,2,207.002199,8.33,8.00,207.005787,6.48,2.50,NULL,10.2,0.83,Pi,-63.546000,-42.554000,x
ANIC,43607,2,11,207.069213,12.00,65.50,207.075116,50.37,3.00,11.2,11.1,1.17,Pi,-63.456000,-42.512000,x
ANIC,43679,2,47,207.517477,18.50,76.00,207.526620,65.85,5.00,11.1,11.1,1.00,Pi,-62.680000,-42.442000,x
ANIC,43691,2,53,207.592940,14.83,77.50,207.597338,67.29,4.00,11.0,11.1,1.17,Pi,-62.533000,-42.424000,x
ANIC,43744,1,80,18.361806,9.67,83.00,18.365972,62.99,2.50,11.5,13.1,1.17,Pi,-62.590000,-43.187000,x
ANIC,43816,1,116,18.575231,10.17,87.00,18.578009,54.70,2.50,12.1,13.7,1.00,Pi,-62.362000,-43.431000,x
ANIC,43878,1,147,18.837616,7.00,40.00,18.840509,28.40,3.50,14.6,15.1,1.17,Pi,-61.788000,-43.481000,x
ANIC,43904,1,160,18.944560,10.17,97.50,18.946644,58.98,4.00,9.6,13.6,0.83,Pi,-61.814000,-43.546000,x
ANIC,43974,1,195,19.310995,12.67,106.00,19.313657,71.64,4.00,8.9,11.4,1.50,Pi,-61.328000,-43.745000,x
ANIC,44031,2,223,209.926273,4.50,40.50,209.927315,26.65,2.50,6.5,6.5,1.50,Pi,-58.958000,-42.813000,x
ANIC,44033,2,224,209.930440,16.67,110.50,209.935995,75.14,2.50,6.3,6.4,1.33,Pi,-58.928000,-42.808000,x
ANIC,44040,1,228,19.564120,4.33,5.00,19.565046,3.44,2.50,NULL,18.6,2.67,Pi,-61.099000,-43.792000,x
ANIC,44307,2,361,213.508912,38.17,566.50,213.520833,456.40,3.00,3.6,5.2,1.67,F,-60.095000,-41.620000,x
ANIC,44460,1,438,21.563773,26.83,515.00,21.576042,359.68,11.50,3.9,8.9,1.67,F,-58.064000,-43.999000,x
ANIC,44681,2,548,217.930324,24.00,775.50,217.937384,451.52,8.50,3.9,5.4,1.83,F,-54.894000,-42.321000,x
ANIC,44869,2,642,220.039815,22.33,608.00,220.048264,388.56,3.00,5.0,7.2,1.67,F,-54.648000,-42.411000,x
ANIC,44907,2,661,220.368056,40.67,724.50,220.386690,411.44,6.50,7.1,8.3,1.67,F,-54.578000,-42.507000,x
ANIC,44931,2,673,220.710648,32.83,803.50,220.720949,508.32,8.50,5.0,8.8,1.83,F,-54.392000,-42.605000,x
ANIC,44937,2,676,220.780671,29.67,659.50,220.792477,462.61,9.50,5.2,8.2,2.00,F,-54.435000,-42.644000,x
ANIC,44941,2,678,220.823380,26.00,709.00,220.830324,457.21,16.00,6.0,8.2,2.17,F,-54.349000,-42.626000,x
ANIC,44948,1,682,24.546991,17.17,465.00,24.552894,341.00,3.50,4.7,7.6,1.50,F,-55.180000,-44.974000,x
ANIC,44949,2,682,220.897685,2.50,91.00,220.898611,52.23,5.00,9.2,9.3,0.83,F,-54.380000,-42.671000,x
ANIC,44963,2,689,221.003935,21.17,410.50,221.009144,266.57,6.50,9.4,12.6,1.83,F,-54.332000,-42.709000,x
ANIC,45001,2,708,221.297338,28.00,240.50,221.301157,162.16,5.50,14.6,15.4,1.50,F,-53.937000,-43.003000,x
ANIC,45039,2,727,221.802431,42.83,847.50,221.818056,522.65,3.00,5.7,13.0,1.83,F,-53.466000,-43.420000,x
ANIC,45067,2,741,222.106250,31.50,689.00,222.115856,354.34,12.50,11.8,15.3,1.67,F,-52.172000,-43.400000,x
ANIC,45101,2,758,222.469444,42.00,594.50,222.477546,413.02,8.50,12.5,16.9,1.50,F,-52.395000,-43.409000,x
ANIC,45151,2,783,222.631713,18.33,603.00,222.638773,358.63,3.00,10.3,13.3,1.83,F,-52.309000,-43.208000,x
ANIC,45315,2,865,224.673032,42.83,846.50,224.686574,544.89,16.50,4.4,11.7,1.83,F,-50.379000,-43.323000,x
ANIC,45352,1,884,27.082292,33.83,670.00,27.093634,464.43,4.00,5.4,9.6,1.67,F,-53.150000,-45.750000,x
ANIC,45376,1,896,27.203241,25.83,675.00,27.215741,434.15,5.00,5.3,9.6,1.50,F,-53.110000,-45.769000,x
ANIC,45413,2,914,225.913773,54.83,765.00,225.923958,473.19,2.50,4.6,8.8,1.50,F,-49.344000,-43.386000,x
ANIC,45423,2,919,226.060069,33.00,545.00,226.068171,385.67,2.50,5.1,7.7,1.50,F,-49.250000,-43.319000,x
ANIC,45432,1,924,27.550463,24.83,656.50,27.556829,363.09,3.00,6.5,12.2,1.33,F,-52.710000,-45.942000,x
ANIC,45461,2,938,226.543750,42.17,890.00,226.554167,584.79,7.50,4.2,8.1,1.67,F,-48.960000,-43.231000,x
ANIC,45512,1,964,28.074769,9.33,242.00,28.076968,163.36,13.00,10.3,11.3,1.33,F,-52.570000,-46.153000,x
ANIC,45580,1,998,28.366319,15.33,381.50,28.373264,253.39,15.00,8.2,11.1,1.50,F,-52.250000,-46.260000,x
ANIC,45686,1,1051,29.121528,14.67,184.00,29.126157,137.69,6.50,15.5,15.8,1.17,F,-51.712000,-46.717000,x
ANIC,45855,2,1135,231.450810,49.17,721.50,231.464583,527.06,4.50,4.3,7.6,1.67,F,-47.507000,-43.596000,x
ANIC,45866,1,1141,30.327199,17.00,394.00,30.332407,288.61,6.50,8.5,11.3,1.33,F,-49.800000,-47.358000,x
ANIC,45890,1,1153,30.516088,20.83,668.00,30.522454,415.51,6.50,6.9,12.2,1.83,F,-49.580000,-47.498000,x
ANIC,45902,1,1159,30.624074,20.00,704.50,30.631481,408.63,17.50,6.4,11.8,2.00,F,-49.762000,-47.470000,x
ANIC,45928,1,1172,30.839815,19.00,742.00,30.845370,424.28,2.50,7.0,10.4,1.67,F,-49.844000,-47.769000,x
ANIC,45970,1,1193,31.093519,13.67,278.50,31.095486,170.66,7.00,12.8,13.7,1.67,F,-49.115000,-47.862000,x
ANIC,45974,1,1195,31.114468,12.50,258.50,31.119097,170.05,9.50,11.6,13.2,1.50,F,-49.127000,-47.883000,x
ANIC,45990,1,1203,31.185301,12.00,271.00,31.190509,172.74,11.00,13.0,14.8,1.33,F,-48.990000,-47.903000,x
ANIC,46014,1,1215,31.315278,17.00,357.50,31.320255,257.97,9.00,11.1,14.2,1.17,F,-48.870000,-47.999000,x
ANIC,46024,1,1220,31.382870,23.83,476.50,31.392940,330.19,4.00,6.6,11.3,1.67,F,-48.653000,-48.105000,x
ANIC,46133,2,1274,234.914005,28.33,751.00,234.925116,468.86,2.50,4.6,8.1,2.83,F,-46.800000,-43.135000,x
ANIC,46141,2,1278,235.003704,27.33,426.00,235.010532,308.01,2.50,6.0,8.4,2.00,F,-46.724000,-43.154000,x
ANIC,46175,2,1295,235.317593,43.00,482.00,235.335995,333.57,7.00,5.3,8.7,2.00,F,-46.742000,-43.067000,x
ANIC,46185,2,1300,235.467361,37.67,716.50,235.475694,513.41,9.50,5.0,7.7,2.17,F,-46.761000,-43.057000,x
ANIC,46189,2,1302,235.529514,49.33,594.00,235.553588,428.32,11.00,4.6,7.8,1.83,F,-46.687000,-43.074000,x
ANIC,46197,2,1306,235.669097,34.83,766.50,235.680556,538.87,6.50,4.5,8.3,2.00,F,-46.699000,-43.091000,x
ANIC,46237,2,1326,236.128588,26.17,362.50,236.131829,283.32,5.00,7.2,8.0,1.67,F,-46.611000,-43.098000,x
ANIC,46270,1,1343,33.071412,8.33,200.50,33.073495,119.53,3.00,6.9,8.1,1.17,F,-46.990000,-48.068000,x
ANIC,46368,1,1392,33.678009,19.83,564.00,33.684375,401.66,4.00,4.6,8.5,1.50,F,-46.302000,-48.192000,x
ANIC,46386,1,1401,33.817940,19.50,525.50,33.823495,379.98,2.50,4.7,7.2,1.83,F,-46.255000,-48.234000,x
ANIC,46556,1,1486,34.840162,22.00,711.00,34.847917,454.43,10.00,3.8,6.4,1.83,F,-46.555000,-48.662000,x
ANIC,46585,2,1500,240.701852,37.67,788.50,240.711921,539.23,7.50,4.1,6.9,2.00,F,-47.207000,-42.442000,x
ANIC,46672,1,1544,35.507870,18.50,810.00,35.514236,442.28,3.00,4.9,7.8,2.00,F,-46.410000,-48.863000,x
ANIC,46702,1,1559,35.731250,19.50,621.00,35.736806,417.60,8.00,5.4,8.4,1.83,F,-46.370000,-48.970000,x
ANIC,46734,1,1575,35.962963,12.67,434.00,35.967361,241.70,5.00,5.8,7.8,1.33,F,-46.209000,-49.031000,x
ANIC,46748,1,1582,36.021181,9.50,203.00,36.024306,119.08,16.00,7.7,9.6,2.00,F,-46.146000,-49.032000,x
ANIC,46764,1,1590,36.094097,9.50,89.50,36.098148,67.91,9.00,10.3,10.6,1.17,F,-46.032000,-49.028000,x
ANIC,46776,1,1596,36.144329,10.83,139.50,36.147801,105.68,6.00,7.6,9.0,1.50,F,-46.337000,-49.009000,x
ANIC,46799,2,1607,243.490741,42.83,546.50,243.512731,380.80,10.50,4.5,7.5,1.83,F,-46.394000,-42.298000,x
ANIC,46823,2,1619,243.838079,37.33,713.50,243.848958,466.94,10.00,4.1,7.0,1.83,F,-46.554000,-42.347000,x
ANIC,46826,1,1621,36.350579,19.50,741.50,36.357060,409.71,5.00,4.9,7.8,1.50,F,-46.010000,-49.063000,x
ANIC,46850,1,1633,36.560301,21.50,668.50,36.566667,413.02,8.00,5.3,9.8,1.67,F,-45.717000,-49.036000,x
ANIC,46868,1,1642,36.721296,20.33,646.00,36.726273,414.74,11.50,5.8,8.7,1.67,F,-45.560000,-49.027000,x
ANIC,46880,1,1648,36.809722,18.67,641.50,36.817130,402.29,8.00,5.1,9.0,1.83,F,-45.628000,-49.078000,x
ANIC,46890,1,1653,36.880093,17.17,557.00,36.884028,370.73,16.00,6.5,8.4,1.67,F,-45.530000,-49.055000,x
ANIC,46916,1,1666,37.010417,11.83,214.50,37.013657,129.92,4.50,9.0,9.7,1.50,F,-45.450000,-49.056000,x
ANIC,46932,1,1674,37.083565,10.00,377.00,37.087500,202.63,6.00,7.3,8.8,1.50,F,-45.520000,-49.097000,x
ANIC,46962,1,1689,37.206829,13.33,437.50,37.212616,246.68,4.00,6.4,8.1,1.50,F,-45.240000,-49.051000,x
ANIC,46987,2,1701,245.818519,36.50,738.50,245.828241,493.25,11.00,4.6,7.3,1.50,F,-46.101000,-42.428000,x
ANIC,47050,1,1733,37.863542,17.67,405.00,37.867014,305.94,11.50,4.3,5.1,1.67,F,-44.630000,-48.881000,x
ANIC,47080,1,1748,38.061111,17.00,617.50,38.066551,338.76,2.50,3.9,5.5,1.50,F,-44.377000,-48.849000,x
ANIC,47147,2,1781,247.772338,31.17,716.50,247.780903,500.99,17.00,4.5,7.3,2.17,F,-45.817000,-42.519000,x
ANIC,47153,2,1784,247.842708,30.83,697.00,247.852778,468.41,13.00,4.4,6.9,2.00,F,-45.827000,-42.533000,x
ANIC,47159,2,1787,247.906597,37.33,772.50,247.925347,516.55,3.00,4.0,7.1,2.33,F,-46.011000,-42.496000,x
ANIC,47180,1,1798,38.779630,19.50,507.50,38.787616,378.96,5.50,3.6,6.6,1.67,F,-43.984000,-49.135000,x
ANIC,47269,2,1842,249.269444,76.83,684.00,249.279282,473.66,7.50,5.0,7.0,2.83,F,-45.604000,-42.752000,x
ANIC,47292,1,1854,39.375694,19.00,473.00,39.380671,352.19,3.50,3.7,4.8,1.50,F,-43.575000,-49.221000,x
ANIC,47325,2,1870,250.037500,28.83,698.50,250.048495,407.52,5.00,4.6,7.0,2.00,F,-45.214000,-42.682000,x
ANIC,47333,2,1874,250.122338,26.17,655.00,250.133796,416.16,3.50,4.4,7.2,2.00,F,-45.431000,-42.832000,x
ANIC,47334,1,1875,39.698032,20.67,641.00,39.706829,435.63,13.50,3.7,7.7,1.83,F,-43.006000,-49.159000,x
ANIC,47391,2,1903,250.862500,28.17,676.50,250.875579,430.49,5.50,4.3,7.3,2.67,F,-45.239000,-42.760000,x
ANIC,47399,2,1907,250.940972,23.17,654.50,250.951620,393.26,7.50,4.7,15.7,72.17,F,-45.199000,-42.734000,x
ANIC,47401,2,1908,251.007176,21.67,284.00,251.018056,162.06,5.50,9.3,17.2,53.33,F,-45.186000,-42.731000,x
ANIC,47713,2,2064,255.149653,31.83,667.00,255.160185,435.29,14.50,4.7,8.3,2.33,F,-44.288000,-41.303000,x
ANIC,47720,1,2068,42.100116,11.83,161.50,42.105903,120.47,3.00,4.7,5.6,1.33,F,-43.491000,-49.393000,x
ANIC,47749,2,2082,255.643056,62.17,503.00,255.670602,374.56,10.50,5.2,8.3,1.67,F,-44.225000,-41.262000,x
ANIC,47774,1,2095,42.479282,21.33,656.00,42.484259,457.43,9.50,4.1,5.8,1.50,F,-43.776000,-49.365000,x
ANIC,47835,2,2125,256.800116,33.17,700.50,256.816551,500.66,2.50,4.2,7.5,2.33,F,-44.065000,-41.151000,x
ANIC,47864,1,2140,43.061806,12.17,466.50,43.066435,250.74,7.50,4.3,5.6,1.67,F,-43.524000,-49.381000,x
ANIC,47865,2,2140,257.136690,28.83,435.00,257.147222,307.83,3.00,6.4,9.1,2.50,F,-44.051000,-41.107000,x
ANIC,47893,2,2154,257.500000,35.00,667.00,257.511458,470.50,7.00,4.5,8.3,1.83,F,-44.443000,-40.946000,x
ANIC,47950,1,2183,43.673380,18.50,615.50,43.680556,392.26,2.50,4.0,7.0,2.00,F,-43.765000,-49.350000,x
ANIC,48005,2,2210,259.002662,30.67,386.00,259.009838,283.83,4.50,5.4,8.5,1.83,F,-44.228000,-40.891000,x
ANIC,48020,1,2218,44.113889,12.17,433.00,44.118981,211.51,2.50,4.5,6.2,2.17,F,-43.830000,-49.239000,x
ANIC,48028,1,2222,44.155093,12.83,176.50,44.162384,114.82,5.50,4.7,6.4,2.00,F,-43.782000,-49.246000,x
ANIC,48059,2,2237,259.704051,37.17,700.00,259.712731,500.38,4.00,4.7,8.2,2.00,F,-44.200000,-40.906000,x
ANIC,48071,2,2243,259.851968,32.50,643.00,259.861806,417.81,8.00,4.6,7.4,1.83,F,-44.122000,-40.909000,x
ANIC,48078,1,2247,44.514815,22.83,592.50,44.523264,407.78,9.00,3.5,5.6,1.83,F,-43.604000,-49.273000,x
ANIC,48085,2,2250,259.996065,24.67,375.50,260.004514,214.72,6.50,5.7,8.9,1.83,F,-44.111000,-40.899000,x
ANIC,48194,1,2305,45.289583,19.67,466.50,45.297917,291.13,8.00,3.5,5.2,1.50,F,-43.110000,-49.471000,x
ANIC,48223,2,2319,261.818981,31.00,721.00,261.831250,399.84,8.50,4.7,7.8,2.00,F,-43.931000,-40.915000,x
ANIC,48277,2,2346,262.493981,43.83,688.00,262.513194,445.00,4.50,4.2,10.4,2.17,F,-44.026000,-40.924000,x
ANIC,48301,2,2358,262.870370,32.00,612.00,262.879977,346.64,11.00,4.8,8.5,3.00,F,-44.095000,-40.915000,x
ANIC,48377,2,2396,263.856713,28.50,668.00,263.864699,425.98,9.50,5.0,7.5,2.00,F,-44.244000,-40.901000,x
ANIC,48616,1,2516,48.092708,17.33,276.00,48.101968,166.78,8.00,4.8,8.9,18.33,F,-43.431000,-49.608000,x
ANIC,48618,1,2517,48.117477,20.33,268.00,48.128588,151.45,2.50,5.6,8.7,24.17,F,-43.452000,-49.608000,x
ANIC,48623,2,2519,267.050116,20.33,367.50,267.060648,174.78,9.00,9.7,11.2,2.17,F,-44.088000,-41.248000,x
ANIC,48785,2,2600,269.011690,14.00,200.50,269.017593,119.31,5.00,8.8,11.3,30.50,F,-44.390000,-41.552000,x
ANIC,48994,1,2705,50.887269,17.33,476.50,50.891898,342.53,16.00,4.1,5.7,2.00,F,-43.205000,-49.604000,x
ANIC,49016,1,2716,51.016204,13.67,163.00,51.018403,128.03,7.50,4.9,5.6,1.50,F,-43.079000,-49.585000,x
ANIC,49030,1,2723,51.086343,12.67,158.50,51.092014,123.29,5.00,4.3,5.8,1.50,F,-43.105000,-49.633000,x
ANIC,49044,1,2730,51.165394,28.17,365.00,51.180324,222.73,7.50,5.6,7.6,1.83,F,-43.050000,-49.648000,x
ANIC,49062,1,2739,51.297454,15.67,184.50,51.304398,143.83,2.50,3.8,5.6,1.50,F,-43.032000,-49.668000,x
ANIC,49084,1,2750,51.459491,17.17,557.50,51.463542,384.68,11.50,4.6,5.8,2.17,F,-43.045000,-49.639000,x
ANIC,49114,1,2765,51.682176,23.50,436.50,51.694444,292.56,14.50,3.7,5.6,1.50,F,-43.037000,-49.613000,x
ANIC,49143,2,2779,273.472685,47.00,390.00,273.495255,295.90,16.00,5.0,8.2,1.83,F,-44.121000,-42.972000,x
ANIC,49350,1,2883,53.275463,26.67,389.00,53.290278,236.87,12.00,3.1,5.4,1.83,F,-43.224000,-49.515000,x
ANIC,49400,1,2908,53.667940,18.83,531.00,53.675694,355.15,2.50,3.7,5.8,2.00,F,-43.195000,-49.476000,x
ANIC,49419,2,2917,277.021296,28.67,513.00,277.029861,391.52,13.00,4.7,8.0,3.50,F,-44.783000,-44.407000,x
ANIC,49426,1,2921,53.861690,20.50,497.50,53.869676,366.74,4.50,3.5,5.4,1.50,F,-43.118000,-49.361000,x
ANIC,49429,2,2922,277.133796,29.67,515.00,277.140741,388.74,5.00,5.0,7.6,2.33,F,-44.813000,-44.379000,x
ANIC,49441,2,2928,277.253704,26.33,523.50,277.265972,385.55,5.50,4.6,7.4,2.00,F,-44.896000,-44.350000,x
ANIC,49459,2,2937,277.487037,37.50,660.50,277.499884,438.66,3.00,4.6,7.7,2.00,F,-44.844000,-44.354000,x
ANIC,49546,1,2981,54.852662,17.50,488.00,54.858681,359.63,11.50,3.8,6.8,1.83,F,-42.335000,-49.217000,x
ANIC,49589,2,3002,279.060417,37.00,392.50,279.079167,284.04,3.50,4.9,7.7,1.83,F,-45.098000,-44.043000,x
ANIC,49618,1,3017,55.331829,21.33,789.00,55.339005,433.35,7.00,3.8,5.4,1.83,F,-41.975000,-49.214000,x
ANIC,49665,2,3040,280.043750,25.33,527.00,280.055671,344.05,2.50,4.5,7.5,2.00,F,-45.233000,-43.802000,x
ANIC,49679,2,3047,280.182292,28.50,530.00,280.190856,362.50,9.00,4.7,7.2,1.83,F,-45.301000,-43.787000,x
ANIC,49745,2,3080,281.030324,18.67,298.00,281.040856,199.38,2.50,5.9,7.5,2.33,F,-45.812000,-43.679000,x
ANIC,50003,2,3209,284.064931,22.50,254.50,284.073148,161.57,2.50,6.6,8.8,1.67,F,-46.059000,-43.489000,x
ANIC,50166,1,3291,59.533796,23.67,606.50,59.539699,411.83,16.00,4.3,6.8,1.83,F,-38.909000,-48.876000,x
ANIC,50194,1,3305,59.802778,30.50,682.00,59.812963,464.18,8.50,3.8,6.2,1.67,F,-38.644000,-48.827000,x
ANIC,50347,2,3381,287.870255,31.17,746.50,287.879745,477.05,10.00,4.5,7.4,1.83,F,-47.239000,-43.975000,x
ANIC,50364,1,3390,61.082639,11.67,216.50,61.087037,144.79,4.50,8.3,10.2,1.50,F,-38.079000,-48.843000,x
ANIC,50368,1,3392,61.103009,12.33,300.00,61.104861,180.74,5.00,9.1,9.6,1.50,F,-38.080000,-48.872000,x
ANIC,50389,2,3402,288.283333,24.17,298.50,288.291898,192.13,6.00,7.2,8.7,2.00,F,-47.355000,-44.039000,x
ANIC,50517,2,3466,289.913194,28.00,544.00,289.924306,336.72,4.50,4.7,8.0,2.00,F,-47.519000,-44.231000,x
ANIC,50525,2,3470,290.018634,31.33,640.00,290.027315,388.13,2.50,4.6,8.3,1.83,F,-47.516000,-44.241000,x
ANIC,50527,2,3471,290.041667,33.00,200.00,290.051157,163.76,3.00,7.9,8.7,1.83,F,-47.520000,-44.225000,x
ANIC,50531,2,3473,290.089005,30.17,260.00,290.106366,168.58,4.00,7.1,8.5,1.67,F,-47.517000,-44.237000,x
ANIC,50697,2,3556,292.059491,21.83,225.50,292.064120,145.71,8.50,8.2,8.4,1.67,F,-47.289000,-44.000000,x
ANIC,50767,2,3591,292.855787,31.67,711.50,292.867824,455.10,15.50,4.2,7.9,2.33,F,-47.388000,-44.094000,x
ANIC,50774,1,3595,64.324884,20.17,770.00,64.332523,423.57,3.50,4.9,7.7,2.17,F,-37.968000,-48.090000,x
ANIC,50786,1,3601,64.450579,29.17,855.50,64.460880,544.58,4.50,4.4,7.8,2.00,F,-37.965000,-48.092000,x
ANIC,50867,2,3641,294.055556,22.00,598.00,294.064005,383.43,3.00,5.0,8.6,7.50,F,-47.646000,-44.297000,x
ANIC,50895,2,3655,294.293981,63.33,727.50,294.309606,536.77,4.00,4.2,7.4,2.50,F,-47.579000,-44.313000,x
ANIC,50906,1,3661,65.490394,24.00,849.00,65.500116,510.30,8.00,4.3,8.3,2.17,F,-38.049000,-48.231000,x
ANIC,50953,2,3684,295.046875,21.33,248.50,295.056829,157.57,5.50,7.4,8.6,1.83,F,-47.618000,-44.291000,x
ANIC,50957,2,3686,295.078472,26.67,236.00,295.091435,147.89,7.50,7.5,8.7,2.00,F,-47.625000,-44.282000,x
ANIC,51047,2,3731,296.065972,25.00,752.00,296.073264,383.07,4.00,5.1,8.1,2.50,F,-47.791000,-44.321000,x
ANIC,51125,2,3770,296.975347,29.00,304.00,296.978935,203.75,5.00,7.5,8.7,2.17,F,-47.941000,-44.474000,x
ANIC,51129,2,3772,297.015509,23.00,278.00,297.025347,186.93,8.50,7.1,8.6,3.00,F,-48.137000,-44.435000,x
ANIC,51141,2,3778,297.117708,27.83,604.50,297.130324,397.31,4.50,4.6,7.6,2.17,F,-48.013000,-44.466000,x
ANIC,51184,1,3800,67.845949,24.67,882.00,67.853009,455.29,9.00,4.9,8.0,1.83,F,-37.964000,-48.195000,x
ANIC,51201,2,3808,297.849884,28.83,689.00,297.860648,433.79,6.00,4.3,7.6,2.17,F,-48.125000,-44.470000,x
ANIC,51210,1,3813,68.047338,16.17,168.00,68.049537,100.66,9.50,9.7,10.5,1.50,F,-38.187000,-48.393000,x
ANIC,51219,2,3817,298.031019,24.83,666.00,298.042245,395.89,10.00,4.5,7.3,2.33,F,-47.885000,-44.431000,x
ANIC,51235,2,3825,298.190856,28.33,615.00,298.201389,371.65,5.50,4.7,7.5,2.00,F,-47.841000,-44.441000,x
ANIC,51305,2,3860,299.113773,26.50,682.00,299.121412,417.27,3.50,5.0,7.6,2.00,F,-47.790000,-44.428000,x
ANIC,51389,2,3902,300.175694,24.33,592.50,300.183912,393.84,7.50,5.0,7.5,2.33,F,-47.750000,-44.532000,x
ANIC,51443,2,3929,300.862269,28.67,798.50,300.872569,478.32,15.50,4.8,7.8,2.00,F,-47.840000,-44.519000,x
ANIC,51461,2,3938,301.055324,22.83,680.00,301.063426,399.62,4.00,4.7,7.7,2.33,F,-47.772000,-44.521000,x
ANIC,51466,1,3941,70.172222,20.50,828.50,70.178819,436.39,9.00,5.2,8.1,2.17,F,-38.100000,-48.645000,x
ANIC,51656,1,4036,71.847917,24.50,794.50,71.854051,516.64,10.00,5.0,7.9,2.17,F,-38.294000,-48.582000,x
ANIC,51731,2,4073,304.216898,28.00,287.50,304.219907,218.68,3.00,9.0,9.3,1.83,F,-47.622000,-44.424000,x
ANIC,51821,2,4118,305.340278,32.83,492.50,305.351389,387.96,6.50,5.0,7.6,1.83,F,-47.754000,-44.497000,x
ANIC,51851,2,4133,305.775579,36.33,821.50,305.790162,496.55,4.00,4.1,10.6,4.17,F,-47.467000,-44.458000,x
ANIC,51899,2,4157,306.300231,27.17,248.50,306.312847,196.98,9.50,7.4,9.0,1.83,F,-47.980000,-44.427000,x
ANIC,51943,2,4179,306.884838,26.67,666.50,306.894560,401.18,3.00,4.7,8.1,2.17,F,-48.304000,-44.414000,x
ANIC,51998,1,4207,74.422106,34.67,508.00,74.436690,370.73,9.50,4.9,8.8,1.83,F,-39.441000,-48.168000,x
ANIC,52022,1,4219,74.750694,27.33,939.50,74.759606,546.36,6.50,4.4,8.5,2.33,F,-39.836000,-48.226000,x
