platform,claveU,title,DOI
https://linkeddata.cenpat-conicet.gob.ar/resource/platform/ABNU,ABNU,PERSPECTIVES OF MARINE BIODIVERSITY STUDIES IN ARGENTINA PERSPECTIVAS DE LOS ESTUDIOS SOBRE BIODIVERSIDAD MARINA EN LA ARGENTINA,http://dx.doi.org/10.4067/S0717-65382003000200016
https://linkeddata.cenpat-conicet.gob.ar/resource/platform/ABVM,ABVM,MARINE BIODIVERSITY IN THE ATLANTIC AND PACIFIC COASTS OF SOUTH AMERICA: KNOWLEDGE AND GAPS,http://dx.doi.org/10.1371/journal.pone.0014631
https://linkeddata.cenpat-conicet.gob.ar/resource/platform/ABVM,ABVM,FORAGING HABITATS OF SOUTHERN ELEPHANT SEALS MIROUNGA LEONINA FROM THE NORTHERN ANTARCTIC PENINSULA,http://dx.doi.org/10.1016/j.dsr2.2012.07.009
https://linkeddata.cenpat-conicet.gob.ar/resource/platform/ABVM,ABVM,THREE-DIMENSIONAL DIVING BEHAVIOR OF A SOUTH AMERICAN SEA LION (OTARIA FLAVESCENS),http://dx.doi.org/10.4027/slw.2006.18
https://linkeddata.cenpat-conicet.gob.ar/resource/platform/ABVM,ABVM,ADULT FEMALE SURVIVAL POPULATION TREND AND THE IMPLICATIONS OF EARLY PRIMIPARITY IN A CAPITAL BREEDER THE SOUTHERN ELEPHANT SEAL (MIROUNGA LEONINA),http://dx.doi.org/10.1017/S0952836904004984
https://linkeddata.cenpat-conicet.gob.ar/resource/platform/ACDL,ACDL,FINE-SCALE BREEDING HABITAT PREFERENCES OF SOUTHERN ELEPHANT SEALS (MIROUNGA LEONINA) ON PEN«çNSULA VALD«?S,http://dx.doi.org/10.1578/AM.39.3.2013.233
https://linkeddata.cenpat-conicet.gob.ar/resource/platform/ACIY,ACIY,PITCHING A NEW ANGLE ON ELEPHANT SEAL DIVE PATTERNS,http://dx.doi.org/10.1007/s00300-011-0981-6
https://linkeddata.cenpat-conicet.gob.ar/resource/platform/AFST,AFST,SOUTH AMERICAN SEA LIONS (OTARIA FLAVESCENS) AVOID KILLER WHALE (ORCINUS ORCA) PREDATION,http://dx.doi.org/10.1578/AM.34.3.2008.317
https://linkeddata.cenpat-conicet.gob.ar/resource/platform/AFST,AFST,DIVING BEHAVIOUR OF LACTATING SOUTHERN SEA LIONS (OTARIA FLAVESCENS) IN PATAGONIA,http://dx.doi.org/10.1139/z95-232
https://linkeddata.cenpat-conicet.gob.ar/resource/platform/AFST,AFST,ALL AT SEA WITH ANIMAL TRACKS METHODOLOGICAL AND ANALYTICAL SOLUTIONS FOR THE RESOLUTION OF MOVEMENT,http://dx.doi.org/10.1016/j.dsr2.2006.11.017
